Station,Date_parsed,Muntiacus_present,EVI_Silwood,distance_to_road
49,18/10/2025,0,0.642494367,154.50773
49,19/10/2025,0,0.642494367,154.50773
49,20/10/2025,0,0.642494367,154.50773
49,21/10/2025,0,0.642494367,154.50773
49,22/10/2025,0,0.642494367,154.50773
49,23/10/2025,0,0.642494367,154.50773
49,24/10/2025,0,0.642494367,154.50773
49,25/10/2025,0,0.642494367,154.50773
49,26/10/2025,0,0.642494367,154.50773
49,27/10/2025,0,0.642494367,154.50773
49,28/10/2025,0,0.642494367,154.50773
49,29/10/2025,0,0.642494367,154.50773
49,30/10/2025,0,0.642494367,154.50773
49,31/10/2025,0,0.642494367,154.50773
49,01/11/2025,0,0.642494367,154.50773
49,02/11/2025,0,0.642494367,154.50773
49,03/11/2025,0,0.642494367,154.50773
49,04/11/2025,0,0.642494367,154.50773
49,05/11/2025,0,0.642494367,154.50773
49,06/11/2025,0,0.642494367,154.50773
49,07/11/2025,0,0.642494367,154.50773
49,08/11/2025,0,0.642494367,154.50773
49,09/11/2025,0,0.642494367,154.50773
49,10/11/2025,0,0.642494367,154.50773
49,11/11/2025,0,0.642494367,154.50773
49,12/11/2025,0,0.642494367,154.50773
49,13/11/2025,0,0.642494367,154.50773
49,14/11/2025,0,0.642494367,154.50773
49,15/11/2025,0,0.642494367,154.50773
49,16/11/2025,0,0.642494367,154.50773
49,17/11/2025,0,0.642494367,154.50773
49,18/11/2025,0,0.642494367,154.50773
49,19/11/2025,0,0.642494367,154.50773
49,20/11/2025,0,0.642494367,154.50773
49,21/11/2025,0,0.642494367,154.50773
49,22/11/2025,0,0.642494367,154.50773
49,23/11/2025,0,0.642494367,154.50773
49,24/11/2025,0,0.642494367,154.50773
60,08/10/2025,0,0.129500441,26.2403
60,09/10/2025,1,0.129500441,26.2403
60,10/10/2025,1,0.129500441,26.2403
60,11/10/2025,0,0.129500441,26.2403
60,12/10/2025,1,0.129500441,26.2403
60,13/10/2025,1,0.129500441,26.2403
60,14/10/2025,0,0.129500441,26.2403
60,15/10/2025,0,0.129500441,26.2403
60,16/10/2025,0,0.129500441,26.2403
60,17/10/2025,1,0.129500441,26.2403
60,18/10/2025,1,0.129500441,26.2403
60,19/10/2025,0,0.129500441,26.2403
60,20/10/2025,1,0.129500441,26.2403
60,21/10/2025,1,0.129500441,26.2403
60,22/10/2025,1,0.129500441,26.2403
60,23/10/2025,0,0.129500441,26.2403
60,24/10/2025,1,0.129500441,26.2403
60,25/10/2025,1,0.129500441,26.2403
60,26/10/2025,0,0.129500441,26.2403
60,27/10/2025,1,0.129500441,26.2403
60,28/10/2025,0,0.129500441,26.2403
60,29/10/2025,1,0.129500441,26.2403
60,30/10/2025,1,0.129500441,26.2403
60,31/10/2025,0,0.129500441,26.2403
60,01/11/2025,1,0.129500441,26.2403
60,02/11/2025,0,0.129500441,26.2403
60,03/11/2025,1,0.129500441,26.2403
60,04/11/2025,0,0.129500441,26.2403
60,05/11/2025,1,0.129500441,26.2403
60,06/11/2025,1,0.129500441,26.2403
60,07/11/2025,1,0.129500441,26.2403
60,08/11/2025,0,0.129500441,26.2403
60,09/11/2025,0,0.129500441,26.2403
60,10/11/2025,1,0.129500441,26.2403
60,11/11/2025,1,0.129500441,26.2403
60,12/11/2025,1,0.129500441,26.2403
60,13/11/2025,1,0.129500441,26.2403
60,14/11/2025,1,0.129500441,26.2403
60,15/11/2025,1,0.129500441,26.2403
60,16/11/2025,1,0.129500441,26.2403
60,17/11/2025,1,0.129500441,26.2403
60,18/11/2025,0,0.129500441,26.2403
60,19/11/2025,0,0.129500441,26.2403
60,20/11/2025,0,0.129500441,26.2403
60,21/11/2025,1,0.129500441,26.2403
60,22/11/2025,0,0.129500441,26.2403
60,23/11/2025,1,0.129500441,26.2403
60,24/11/2025,1,0.129500441,26.2403
63,08/10/2025,0,0.608070974,55.79865
63,09/10/2025,0,0.608070974,55.79865
63,10/10/2025,0,0.608070974,55.79865
63,11/10/2025,0,0.608070974,55.79865
63,12/10/2025,0,0.608070974,55.79865
63,13/10/2025,0,0.608070974,55.79865
63,14/10/2025,0,0.608070974,55.79865
63,15/10/2025,0,0.608070974,55.79865
63,16/10/2025,0,0.608070974,55.79865
63,17/10/2025,0,0.608070974,55.79865
63,18/10/2025,0,0.608070974,55.79865
63,19/10/2025,0,0.608070974,55.79865
63,20/10/2025,0,0.608070974,55.79865
63,21/10/2025,0,0.608070974,55.79865
63,22/10/2025,0,0.608070974,55.79865
63,23/10/2025,0,0.608070974,55.79865
63,24/10/2025,0,0.608070974,55.79865
63,25/10/2025,0,0.608070974,55.79865
63,26/10/2025,0,0.608070974,55.79865
63,27/10/2025,0,0.608070974,55.79865
63,28/10/2025,0,0.608070974,55.79865
63,29/10/2025,0,0.608070974,55.79865
63,30/10/2025,0,0.608070974,55.79865
63,31/10/2025,0,0.608070974,55.79865
63,01/11/2025,0,0.608070974,55.79865
63,02/11/2025,0,0.608070974,55.79865
63,03/11/2025,0,0.608070974,55.79865
63,04/11/2025,0,0.608070974,55.79865
63,05/11/2025,0,0.608070974,55.79865
63,06/11/2025,0,0.608070974,55.79865
